  11:18:37.252  Server initialization script starting...  -  Server - init:12
  11:18:37.253  Created standard remote events and functions  -  Server - init:43
  11:18:37.253  server.inits: Attempting to require shared module  -  Server - init:47
  11:18:37.254  server.inits: Found shared module at ReplicatedStorage.shared  -  Server - init:51
  11:18:37.254  server.inits: Failed to require SharedModule: Attempted to call require with invalid argument(s).  -  Server - init:57
  11:18:37.255  server.inits: Initializing server managers  -  Server - init:76
  11:18:37.255  server.inits: GameManager module not available  -  Server - init:92
  11:18:37.255  server.inits: InventoryManager module not available  -  Server - init:108
  11:18:37.256  server.inits: CurrencyManager module not available  -  Server - init:124
  11:18:37.256  server.inits: PlacementManager module not available  -  Server - init:140
  11:18:37.256  server.inits: InteractionManager module not available  -  Server - init:161
  11:18:37.257  Server initialization completed successfully  -  Server - init:336
  11:18:37.484  Player joining: Xdjpearsonx  -  Server - init:297
  11:18:37.627  Client initialization script starting...  -  Client - init:4
  11:18:37.628  Failed to require SharedModule:  Attempted to call require with invalid argument(s).  -  Client - init:21
  11:18:37.628  Found client_core ModuleScript: Players.Xdjpearsonx.PlayerScripts.client.client_core  -  Client - init:44
  11:18:37.631  client_core.luau: Attempting to require shared module  -  Client - client_core:11
  11:18:37.631  client_core.luau: Found shared module at ReplicatedStorage.shared  -  Client - client_core:15
  11:18:37.632  client_core.luau: Failed to require SharedModule: Attempted to call require with invalid argument(s).  -  Client - client_core:21
  11:18:37.633  client_core.luau: Getting references to modules  -  Client - client_core:40
  11:18:37.633  client_core.luau: Module references:  -  Client - client_core:49
  11:18:37.634    - GameManagerModule: nil  -  Client - client_core:50
  11:18:37.634    - Constants: nil  -  Client - client_core:51
  11:18:37.634    - PurchaseDialogModule: nil  -  Client - client_core:52
  11:18:37.635    - InventoryUIModule: nil  -  Client - client_core:53
  11:18:37.635    - PlacedItemDialogModule: nil  -  Client - client_core:54
  11:18:37.636    - CurrencyUIModule: nil  -  Client - client_core:55
  11:18:37.636  [InteractionSystem] Looking for interaction folder in: Players.Xdjpearsonx.PlayerScripts.client  -  Client - client_core:73
  11:18:37.636  [InteractionSystem] Found interaction folder: Players.Xdjpearsonx.PlayerScripts.client.interaction  -  Client - client_core:77
  11:18:37.636  [InteractionSystem] Found InteractionSystemModule: Players.Xdjpearsonx.PlayerScripts.client.interaction.InteractionSystemModule  -  Client - client_core:82
  11:18:37.640  InteractionSystem module loading...  -  Client - InteractionSystemModule:6
  11:18:37.642  [InteractionSystem] Successfully loaded InteractionSystemModule  -  Client - client_core:87
  11:18:37.643  [DEBUG in client_core.luau] Top of initializeClient()  -  Client - client_core:111
  11:18:37.643  Client script starting...  -  Client - client:5
  11:18:37.644  Attempted to call require with invalid argument(s).  -  Client - client:51
  11:18:37.645  Stack Begin  -  Studio
  11:18:37.645  Script 'Players.Xdjpearsonx.PlayerScripts.client', Line 51  -  Studio - client:51
  11:18:37.645  Stack End  -  Studio
  11:18:39.691  [DEBUG in client_core.luau] SharedModule: {}  -  Client - client_core:120
  11:18:39.692  [DEBUG in client_core.luau] SharedModule.GameManager: nil  -  Client - client_core:121
  11:18:39.692  GameManagerModule is nil in initializeClient (client_core.luau). SharedModule.GameManager was: nil  -  Client - client_core:161
  11:18:39.693  InventoryUIModule is nil in initializeClient (client_core.luau)  -  Client - client_core:167
  11:18:39.693  [DEBUG in client_core.luau] Remotes folder found: ReplicatedStorage.Remotes  -  Client - client_core:173
  11:18:39.694  [DEBUG in client_core.luau] GetInventory RemoteFunction found: ReplicatedStorage.Remotes.GetInventory  -  Client - client_core:180
  11:18:39.695  [DEBUG in client_core.luau] BuyItem RemoteEvent found.  -  Client - client_core:184
  11:18:39.695  [DEBUG in client_core.luau] PlaceItem RemoteEvent found.  -  Client - client_core:185
  11:18:39.696  [DEBUG in client_core.luau] InteractWithItem RemoteEvent found.  -  Client - client_core:186
  11:18:39.697  [UI] InventoryUIModule is nil  -  Client - client_core:206
  11:18:39.697  [UI] PlacedItemDialogModule is nil  -  Client - client_core:222
  11:18:39.697  [UI] PurchaseDialogModule is nil  -  Client - client_core:238
  11:18:39.698  PurchaseDialogModule or PurchaseDialogModule.Initialize is nil or not a function in initializeUI (client_core.luau). Type of Initialize: nil  -  Client - client_core:340
  11:18:39.699  InventoryUIModule or InventoryUIModule.Initialize is nil in client_core.luau.  -  Client - client_core:347
  11:18:39.699  [DEBUG in client_core.luau] Attempting to create InteractionSystem instance...  -  Client - client_core:367
  11:18:39.700  [DEBUG in client_core.luau] InteractionSystem instance created:  ▶ {...}  -  Client - client_core:371
  11:18:39.703  [DEBUG in client_core.luau] Attempting to call Initialize on InteractionSystem instance...  -  Client - client_core:373
  11:18:39.703  [DEBUG] InteractionSystem:Initialize() called  -  Client - InteractionSystemModule:32
  11:18:39.704  [DEBUG] SetupMouseHandling called  -  Client - InteractionSystemModule:121
  11:18:39.704  InteractionSystem instance initialized successfully by client_core.luau  -  Client - client_core:378
  11:18:39.706  client_core ModuleScript loaded successfully  -  Client - init:53
  11:18:39.707  Module CurrencyUI is nil  -  Client - init:58
  11:18:39.707  Client initialization completed successfully  -  Client - init:89
  11:18:39.727  StarterGui script starting...  -  Client - StarterGui:9
  11:18:39.728  StarterGui.init: Attempting to require shared module  -  Client - StarterGui:15
  11:18:39.728  StarterGui.init: Found shared module at ReplicatedStorage.shared  -  Client - StarterGui:19
  11:18:39.728  StarterGui.init: Failed to require SharedModule: Attempted to call require with invalid argument(s).  -  Client - StarterGui:25
  11:18:39.729  StarterGui will not function properly without SharedModule  -  Client - StarterGui:27
